Lab book Number,Polymer Name,Overlap,PNAS number,PNAS biodeg,Biodegradability_yes,Trimer,0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960,990,1020,1050,1080,1110,1140,1170,1200,1230,1260,1290,1320,1350,1380,1410,1440
PLJ1,Poly(hexylene sebacate),1,381,no,0,OC(=O)CCCCCCCCC(=O)OCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCO,7.620243441,7.224355944,7.231741905,7.245036634,7.228787521,7.225833136,7.202198062,7.174131411,7.194812101,7.174131411,7.196289293,7.172654219,7.144587568,7.119475301,7.137201607,7.137201607,7.153450721,7.129815646,7.112089341,7.107657764,7.101748996,7.106180572,7.106180572,7.098794611,7.113566533,7.081068305,7.100271803,7.064819192,7.075159537,7.092885843,7.051524462,7.055956039,7.079591113,7.041184117,7.032320964,7.064819192,7.019026235,7.023457811,7.02936658,7.020503427,7.021980619,6.996868353,7.005731506,7.026412196,7.07072796,7.09140865,,,
PLJ1,Poly(hexylene sebacate),1,381,no,0,OC(=O)CCCCCCCCC(=O)OCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCO,7.676376743,7.310033089,7.284920823,7.349917277,7.295261168,7.273103285,7.298215552,7.326282203,7.256854172,7.295261168,7.265717325,7.243559442,7.258331364,7.236173481,7.225833136,7.225833136,7.224355944,7.240605058,7.190380525,7.171177027,7.218447176,7.219924368,7.219924368,7.239127866,7.246513827,7.214015599,7.174131411,7.193334909,7.216969983,7.191857717,7.150496337,7.191857717,7.181517372,7.182994564,7.134247223,7.165268258,7.175608603,7.160836682,7.126861262,7.205152446,7.107657764,7.095840227,7.051524462,7.038229733,7.011640274,,,,
PLJ1,Poly(hexylene sebacate),1,381,no,0,OC(=O)CCCCCCCCC(=O)OCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCO,7.121611554,6.969740386,6.910997765,6.852255144,6.865149865,6.843658662,6.830763941,6.797810763,6.787781535,6.779185054,6.784916041,6.77631956,6.749097369,6.750530116,6.721875179,6.697518482,6.713278698,6.697518482,6.698951229,6.724740673,6.701816723,6.691787495,6.70324947,6.674594533,6.665998051,6.661699811,6.670296292,6.631612127,6.650237836,6.637343114,6.631612127,6.621582899,6.63017938,6.601524443,6.618717405,6.590062468,6.614419164,6.594360708,6.58003324,6.554243796,6.532752593,6.509828643,6.502664909,6.492635681,6.482606453,6.474009972,6.489770187,,
PLJ12,poly(sorbitol succinate),0,,,0,O[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)COC(CCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCC(O)=O)=O)=O)=O)=O)=O,7.047108717,7.005559058,6.923892487,7.019886526,7.014155539,7.025617514,6.953980171,7.024184767,6.99982807,6.99982807,6.959711158,6.898103043,6.908132271,6.938219955,6.929623474,6.918161499,6.958278411,6.942518196,6.905266777,6.916728752,6.923892487,6.942518196,6.969740386,6.938219955,6.928190727,6.939652702,6.85368789,6.869448106,6.8264657,6.686056508,6.65740157,6.501232162,6.402372629,6.227577512,6.042753166,5.875121783,5.7991862,5.713221388,5.658777007,5.621525589,5.600034386,5.594303398,5.571379449,5.588572411,5.638718551,5.700326666,,,
PLJ12,poly(sorbitol succinate),0,,,0,O[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)COC(CCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCC(O)=O)=O)=O)=O)=O)=O,6.979769614,6.842225916,6.817869219,6.809272738,6.79924351,6.774886813,6.79924351,6.793512522,6.793512522,6.794945269,6.797810763,6.782050547,6.789214282,6.800676257,6.786348788,6.779185054,6.770588572,6.764857585,6.766290332,6.7806178,6.763424838,6.747664623,6.761992091,6.747664623,6.747664623,6.744799129,6.727606167,6.708980457,6.670296292,6.598658949,6.515559631,6.45681701,6.346495501,6.208951802,6.117256003,5.918104189,5.668806235,5.572812196,5.488280131,5.423806522,5.382256863,5.356467419,5.355034672,5.343572698,5.355034672,5.369362141,5.377958622,,
PLJ12,poly(sorbitol succinate),0,,,0,O[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)COC(CCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCC(O)=O)=O)=O)=O)=O)=O,7.170324947,7.049974211,7.009857298,6.966874893,6.925325234,6.916728752,6.929623474,6.955412918,6.941085449,6.913863259,6.928190727,6.925325234,6.921026993,6.92245974,6.942518196,6.955412918,6.936787208,6.928190727,6.959711158,6.932488968,6.941085449,6.913863259,6.92245974,6.921026993,6.900968537,6.89953579,6.870880853,6.800676257,6.713278698,6.60295719,6.435325807,6.266261677,6.062811622,5.855063327,5.673104476,5.568513955,5.53412803,5.491145624,5.462490687,5.473952662,5.458192447,5.48398189,5.494011118,5.502607599,5.544157258,5.577110436,5.632987564,,
PLJ22,"Poly(3-methyl-1,5-pentylene terephthalate)",1,89,yes,0,OC(=O)c1ccc(cc1)C(=O)OCCC(C)CCOC(=O)c1ccc(cc1)C(=O)OCCC(C)CCOC(=O)c1ccc(cc1)C(=O)OCCC(C)CCO,7.312987473,6.95402978,6.959938549,6.955506972,6.911191208,6.909714016,6.934826282,6.924485937,6.889033325,6.877215788,6.915622784,6.897896478,6.897896478,6.89198771,6.897896478,6.897896478,6.899373671,6.890510518,6.880170173,6.868352635,6.872784212,6.877215788,6.863921059,6.883124557,6.859489482,6.89198771,6.897896478,6.89198771,6.886078941,6.909714016,7.09140865,6.959938549,7.157882297,6.925963129,7.078113921,7.185948948,7.132770031,7.101748996,7.212538407,6.983573623,7.172654219,7.206629638,7.199243678,7.027889388,5.123788702,5.10163082,,,
PLJ22,"Poly(3-methyl-1,5-pentylene terephthalate)",1,89,yes,0,OC(=O)c1ccc(cc1)C(=O)OCCC(C)CCOC(=O)c1ccc(cc1)C(=O)OCCC(C)CCOC(=O)c1ccc(cc1)C(=O)OCCC(C)CCO,7.645355708,7.299692744,7.342531316,7.315941858,7.29673836,7.307078705,7.327759395,7.329236587,7.298215552,7.243559442,7.281966438,7.256854172,7.218447176,7.243559442,7.228787521,7.271626093,7.312987473,7.287875207,7.172654219,7.268671709,7.240605058,7.227310329,7.209584023,7.231741905,7.194812101,7.258331364,7.203675254,7.22140156,7.245036634,7.255376979,7.209584023,7.185948948,7.202198062,7.181517372,7.18742614,7.171177027,7.16674545,7.150496337,7.103226188,7.069250768,7.023457811,6.983573623,6.852103522,6.859489482,6.779721106,,,,
PLJ22,"Poly(3-methyl-1,5-pentylene terephthalate)",1,89,yes,0,OC(=O)c1ccc(cc1)C(=O)OCCC(C)CCOC(=O)c1ccc(cc1)C(=O)OCCC(C)CCOC(=O)c1ccc(cc1)C(=O)OCCC(C)CCO,7.097254857,6.99982807,6.956845665,6.933921715,6.909565018,6.880910081,6.8723136,6.868015359,6.875179093,6.856553384,6.850822397,6.863717118,6.859418878,6.84938965,6.846524156,6.859418878,6.879477334,6.870880853,6.885208321,6.855120637,6.863717118,6.860851625,6.873746346,6.856553384,6.869448106,6.860851625,6.852255144,6.862284372,6.85368789,6.878044587,6.908132271,6.869448106,6.886641068,7.081494642,6.971173133,7.074330907,7.087225629,7.048541464,7.009857298,7.028483008,6.996962577,6.913863259,6.981202361,6.869448106,6.89953579,6.886641068,6.855120637,,
PLJ23,Poly(diethylene glycol sebacate),1,394,yes,1,OC(=O)CCCCCCCCC(=O)OCCOCCOC(=O)CCCCCCCCC(=O)OCCOCCOC(=O)CCCCCCCCC(=O)OCCOCCO,7.109134956,6.264181045,5.843181281,5.652623493,5.574332309,5.494563933,5.488655164,5.45172536,5.445816592,5.459111321,5.436953439,5.394114866,5.439907823,5.401500827,5.41036398,5.400023635,5.38968329,5.395592059,5.397069251,5.388206098,5.361616639,5.395592059,5.363093831,5.385251714,5.380820137,5.363093831,5.32764122,5.366048216,5.38968329,5.38968329,5.364571023,5.366048216,5.367525408,5.3690026,5.354230678,5.382297329,5.364571023,5.373434176,5.364571023,5.360139447,5.379342945,5.34832191,5.360139447,5.363093831,6.840285984,6.993913968,,,
