polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,solubility,physical_state,biodegradability,solubility_label,biodegradability_label
1,Malonyl Chloride,679.16,Bisphenol A,1000,,227.76,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
2,Terephthaloyl Chloride,1000,"2,5-hexanediol",529.15,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
3,Terephthaloyl Chloride,1000,"1,8 octanediol",654.79,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
4,Terephthaloyl Chloride,1000,"1,9-nonanediol",717.57,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
5,Terephthaloyl Chloride,1000,"1,10-decanediol",780.4,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
6,Terephthaloyl Chloride,1000,"2,2,4-Trimethyl-1,3-pentanediol",654.79,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
7,Terephthaloyl Chloride,1000,"2,2-Dimethyl-1,3-propanediol",466.37,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
8,Terephthaloyl Chloride,1000,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",878.96,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
9,Terephthaloyl Chloride,1000,"2,3-Butanediol",403.54,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
10,Terephthaloyl Chloride,1000,"1,4 cyclohexanediol",520.15,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
11,Terephthaloyl Chloride,1000,diethylene glycol,475.19,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
12,Terephthaloyl Chloride,1000,triethylene glycol,672.44,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
13,Terephthaloyl Chloride,802.39,"4,4′-Sulfonylbis(2-methylphenol)",1000,,186.82,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
14,Terephthaloyl Chloride,1000,2-Hydroxyethyl disulfide,690.71,,232.83,pyridine,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
15,Terephthaloyl Chloride,644.56,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,296.79,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
16,Terephthaloyl Chloride,769.12,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,354.14,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
17,Terephthaloyl Chloride,785.27,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,361.58,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
18,Terephthaloyl Chloride,637.32,"4,4′-(9-Fluorenylidene)diphenol",1000,,293.46,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
19,Terephthaloyl Chloride,832.2,"4,4′-Cyclohexylidenebisphenol",1000,,383.19,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
20,Terephthaloyl Chloride,779.97,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,359.14,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
21,Phthaloyl chloride,1023.15,"4,4′-Thiodiphenol",1000,,238.22,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,yes,crystalline,yes,1,1
23,Malonyl Chloride,1000,"Naphthalene-1,5-diol",1031.96,,335.36,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
24,Diglycolyl chloride,542.84,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,296.79,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,yes,amorphous,no,1,0
25,Phthaloyl chloride,1528.56,Dianhydro-D-glucitol,1000,,355.89,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
26,Phthaloyl chloride,1000,"cis-2-Butene-1,4-diol",394.54,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,yes,amorphous,yes,1,1
27,Diglycolyl chloride,647.74,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,354.14,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,yes,fluid,no,1,0
28,Oxalyl Chloride,402.99,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,150.07,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
29,Diglycolyl chloride,700.87,"4,4′-Cyclohexylidenebisphenol",1000,,383.19,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,yes,fluid,yes,1,1
30,Phthaloyl chloride,1000,"Naphthalene-1,5-diol",716.45,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
31,Phthaloyl chloride,1000,"2,7-Naphthalenediol",716.45,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
32,Phthaloyl chloride,978.24,Bisphenol A,1000,,227.76,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,yes,crystalline,yes,1,1
33,Sebacoyl Chloride,1152.28,Bisphenol A,1000,,227.76,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,yes,fluid,yes,1,1
34,Diglycolyl chloride,536.74,"4,4′-(9-Fluorenylidene)diphenol",1000,,293.46,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,yes,fluid,yes,1,1
35,Diglycolyl chloride,861.68,"4,4′-Thiodiphenol",1000,,471.11,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
36,Diglycolyl chloride,1000,"2,2′-Thiodiethanol",649.68,,546.74,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,yes,amorphous,yes,1,1
37,Sebacoyl Chloride,1050.97,"4,4'-Dihydroxydiphenylmethane",800,,207.74,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,no,solid,yes,0,1
38,Oxalyl Chloride,480.86,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,179.07,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
39,Diglycolyl chloride,656.88,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,359.14,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,yes,fluid,yes,1,1
40,Diglycolyl chloride,1000,"cis-2-Butene-1,4-diol",468.48,,546.74,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,yes,crystalline,yes,1,1
41,Diglycolyl chloride,1000,"Naphthalene-1,5-diol",850.71,,546.74,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
42,Diglycolyl chloride,1000,"2,7-Naphthalenediol",850.71,,546.74,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
43,Diglycolyl chloride,1000,2-Hydroxyethyl disulfide,820.14,,546.74,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,yes,fluid,yes,1,1
44,Oxalyl Chloride,490.96,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,182.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,yes,crystalline,yes,1,1
45,Oxalyl Chloride,917.12,"1,4-Dithiane-2,5-diol",1000,,341.54,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
46,Sebacoyl Chloride,1205.18,"4,4′-Thiodiphenol",1000,,238.22,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,no,solid,no,0,0
47,Oxalyl Chloride,1181.54,"2,5-hexanediol",1000,,440.01,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
48,Oxalyl Chloride,954.84,"1,8-octanediol",1000,,355.58,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,yes,crystalline,yes,1,1
49,Oxalyl Chloride,801.14,"1,10-decanediol",1000,,298.35,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,yes,crystalline,yes,1,1
50,Oxalyl Chloride,1056.15,"2,2-diethyl-1,3-propanediol",1000,,393.31,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
51,Oxalyl Chloride,711.31,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1000,,264.89,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
52,Malonyl Chloride,619.45,"4,4'-Dihydroxydiphenylmethane",800,,207.74,NaOH,0,,,,,,,,,,,,,15,Water; Diethyl Ether,15,no,solid,no,0,0
53,Sebacoyl Chloride,1000,"2,2′-Thiodiethanol",464.51,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,no,solid,yes,0,1
54,Sebacoyl Chloride,1000,"1,4-Dithiane-2,5-diol",578.74,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,no,solid,yes,0,1
55,Oxalyl Chloride,871.72,"2,7-Naphthalenediol",1000,,324.63,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
56,Sebacoyl Chloride,1000,"cis-2-Butene-1,4-diol",334.95,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,yes,crystalline,no,1,0
57,Succinyl Chloride,587.08,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,179.07,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,no,solid,yes,0,1
58,Succinyl Chloride,681.13,Bis(4-hydroxyphenyl) Sulfone,1000,,207.76,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,no,solid,yes,0,1
59,Succinyl Chloride,635.24,"4,4′-Cyclohexylidenebisphenol",1000,,193.76,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,yes,amorphous,no,1,0
60,Succinyl Chloride,599.41,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,182.83,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,yes,crystalline,no,1,0
61,Succinyl Chloride,780.99,"4,4′-Thiodiphenol",1000,,238.22,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,no,solid,no,0,0
62,Sebacoyl Chloride,1000,Resorcinol,418.55,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,yes,crystalline,yes,1,1
63,Succinyl Chloride,915.46,"Biphenyl-2,2′-diol",1000,,279.23,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,yes,amorphous,yes,1,1
64,Succinyl Chloride,612.49,"4,4′-Sulfonylbis(2-methylphenol)",1000,,186.82,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,yes,crystalline,no,1,0
65,Succinyl Chloride,595.37,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,181.6,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,yes,crystalline,yes,1,1
66,Succinyl Chloride,1980.12,"2-Butyne-1,4-diol",1000,,603.98,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,no,solid,yes,0,1
67,Succinyl Chloride,1166.78,Dianhydro-D-glucitol,1000,,355.89,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,yes,amorphous,yes,1,1
68,Succinyl Chloride,1934.71,"cis-2-Butene-1,4-diol",1000,,590.13,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,no,solid,yes,0,1
69,Succinyl Chloride,1064.29,"Naphthalene-1,5-diol",1000,,324.63,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,no,solid,yes,0,1
70,Succinyl Chloride,1064.29,"2,7-Naphthalenediol",1000,,324.63,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,no,solid,yes,0,1
71,Sebacoyl Chloride,1000,"Naphthalene-1,5-diol",608.24,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,no,solid,yes,0,1
72,Succinyl Chloride,1105.13,2-Hydroxyethyl disulfide,1000,,337.09,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,yes,crystalline,yes,1,1
73,Isophthaloyl Chloride,978.24,Bisphenol A,1000,,450.44,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,yes,crystalline,no,1,0
74,Isophthaloyl Chloride,644.56,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,296.79,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
75,Isophthaloyl Chloride,769.12,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,354.14,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
76,Isophthaloyl Chloride,892.32,Bis(4-hydroxyphenyl) Sulfone,1000,,410.88,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
77,Isophthaloyl Chloride,832.2,"4,4′-Cyclohexylidenebisphenol",1000,,383.19,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
78,Isophthaloyl Chloride,785.27,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,361.58,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
79,Sebacoyl Chloride,1000,"2,7-Naphthalenediol",608.24,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,no,solid,yes,0,1
80,Isophthaloyl Chloride,1023.15,"4,4′-Thiodiphenol",1000,,471.11,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
81,Isophthaloyl Chloride,802.39,"4,4′-Sulfonylbis(2-methylphenol)",1000,,369.47,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
82,Isophthaloyl Chloride,779.97,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,359.14,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
83,Sebacoyl Chloride,1000,"2-Butyne-1,4-diol",327.27,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,no,solid,no,0,0
84,Isophthaloyl Chloride,1528.56,Dianhydro-D-glucitol,1000,,355.89,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,yes,crystalline,no,1,0
85,Isophthaloyl Chloride,2534.58,"cis-2-Butene-1,4-diol",1000,,1167.06,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,fluid,no,0,0
86,Isophthaloyl Chloride,2028.17,Resorcinol,1000,,933.88,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,no,0,0
87,Isophthaloyl Chloride,1394.28,"Naphthalene-1,5-diol",1000,,642.01,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
88,Isophthaloyl Chloride,1394.28,"2,7-Naphthalenediol",1000,,642.01,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
89,Terephthaloyl chloride,1889.68,"3-methyl-1,5-pentanediol",1000,,870.11,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,no,solid,yes,0,1
90,Sebacoyl Chloride,759.24,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,296.79,pyridine,0,,,,,,,,,,,,,0,DMF; hexanes,15,yes,fluid,yes,1,1
91,Adipoyl Chloride,1000,"Naphthalene-1,5-diol",794.7,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; Cyclohexane,15,no,solid,yes,0,1
92,Adipoyl Chloride,1000,"2,7-Naphthalenediol",794.7,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; Cyclohexane,15,no,solid,yes,0,1
93,Adipoyl Chloride,1000,Guaiacol glyceryl ether,984.54,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; Cyclohexane,15,yes,fluid,yes,1,1
94,Adipoyl Chloride,1000,Bis(4-hydroxyphenyl) Sulfone,1243.06,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; Cyclohexane,15,no,solid,yes,0,1
95,Sebacoyl Chloride,905.95,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,354.14,pyridine,0,,,,,,,,,,,,,0,DMF; hexanes,15,yes,fluid,yes,1,1
96,Isophthaloyl Chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",762.35,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,no,solid,no,0,0
97,Sebacoyl Chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",540.57,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,no,0,0
98,Adipoyl Chloride,1000,"2,2′-Thiodiethanol",606.9,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,no,solid,yes,0,1
99,Adipoyl Chloride,1000,"1,4-Dithiane-2,5-diol",756.16,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,no,solid,no,0,0
100,Adipoyl Chloride,1000,"cis-2-Butene-1,4-diol",437.63,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,no,solid,no,0,0
