polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,successful
1,Malonyl Chloride,1000,"cis-2-Butene-1,4-diol",568.287,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
2,Terephthaloyl Chloride,1000,"2,2-diethyl-1,3-propanediol",591.97,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
3,Terephthaloyl Chloride,1000,"1,2-propanediol",340.719,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
4,Malonyl Chloride,1000,Tripropylene glycol,1239.96,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
5,Malonyl Chloride,1000,Resorcinol,710.116,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
6,Phthaloyl chloride,644.564,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,296.793,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
7,Phthaloyl chloride,769.116,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,354.144,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
8,Phthaloyl chloride,785.267,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,361.581,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
9,Phthaloyl chloride,637.316,"4,4′-(9-Fluorenylidene)diphenol",1000,,293.456,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
10,Phthaloyl chloride,832.204,"4,4′-Cyclohexylidenebisphenol",1000,,383.194,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
11,Phthaloyl chloride,779.973,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,359.144,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
12,Phthaloyl chloride,1827.66,"2,2′-Thiodiethanol",1000,,425.535,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
13,Phthaloyl chloride,1000,"Biphenyl-2,2′-diol",833.818,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
14,Phthaloyl chloride,1000,"1,3-Propanediol",340.719,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
15,Phthaloyl chloride,1000,"1,5-pentanediol",466.358,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
16,Phthaloyl chloride,1000,"1,8 octanediol",654.794,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
17,Phthaloyl chloride,1000,"1,9-nonanediol",717.574,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
18,Malonyl Chloride,1000,"2,7-Naphthalenediol",1031.96,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
19,Phthaloyl chloride,1000,"1,10-decanediol",780.398,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
20,Phthaloyl chloride,1000,"2,2-diethyl-1,3-propanediol",591.97,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
21,Phthaloyl chloride,1000,"2,2-Dimethyl-1,3-propanediol",466.367,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
22,Phthaloyl chloride,1000,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",878.955,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
23,Phthaloyl chloride,1000,"1,2-propanediol",340.719,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
24,Phthaloyl chloride,1000,"2,3-Butanediol",403.543,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
25,Phthaloyl chloride,1000,"1,4 cyclohexanediol",520.146,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
26,Phthaloyl chloride,1000,diethylene glycol,475.188,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
27,Phthaloyl chloride,1000,triethylene glycol,672.437,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
28,Malonyl Chloride,1000,"2-Butyne-1,4-diol",1031.96,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
29,Diglycolyl chloride,751.5,Bis(4-hydroxyphenyl) Sulfone,1000,,410.876,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
30,Phthaloyl chloride,1000,dipropylene glycol,600.792,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
31,Phthaloyl chloride,1000,Tripropylene glycol,860.865,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
32,Phthaloyl chloride,1000,Resorcinol,493.01,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
33,Diglycolyl chloride,661.338,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,361.581,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
34,Phthaloyl chloride,1000,"2-Butyne-1,4-diol",716.454,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
35,Phthaloyl chloride,3597.91,ethylene glycol,1000,,837.701,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
36,Phthaloyl chloride,1000,"1,4-Butanediol",403.552,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
37,Phthaloyl chloride,1000,"1,6-Hexanediol",529.146,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
38,Phthaloyl chloride,1000,"2-Methyl-1,3,propanediol",591.97,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
39,Phthaloyl chloride,1000,"2-Butyl-2-ethyl-1,3-propanediol",717.574,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
40,Diglycolyl chloride,1000,dipropylene glycol,713.374,,546.741,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
41,Diglycolyl chloride,1000,"Biphenyl-2,2′-diol",990.068,,546.741,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
42,Diglycolyl chloride,1000,"2-Butyne-1,4-diol",850.711,,546.741,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
43,Diglycolyl chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",756.069,,546.741,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
44,Diglycolyl chloride,1000,"trans-p-menth-6-ene-2,8diol",905.21,,546.741,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
45,Sebacoyl Chloride,742.294,"Phenol Red, Free Acid",1000,,259.589,NaOH,0,,,,,,,,,,,,,0,Water; hexanes,15,0
46,Oxalyl Chloride,398.456,"4,4′-(9-Fluorenylidene)diphenol",1000,,148.386,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
47,Oxalyl Chloride,520.302,"4,4′-Cyclohexylidenebisphenol",1000,,193.762,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
48,Oxalyl Chloride,487.647,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,181.601,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
49,Oxalyl Chloride,639.68,"4,4′-Thiodiphenol",1000,,238.219,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
50,Oxalyl Chloride,704.384,Guaiacol glyceryl ether,1000,,262.315,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
51,Oxalyl Chloride,1142.67,"2,2′-Thiodiethanol",1000,,425.535,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
52,Oxalyl Chloride,955.667,Dianhydro-D-glucitol,1000,,355.894,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
53,Oxalyl Chloride,1584.64,"cis-2-Butene-1,4-diol",1000,,590.127,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
54,Oxalyl Chloride,749.815,"Biphenyl-2,2′-diol",1000,,279.234,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
55,Oxalyl Chloride,1834.97,"1,3-propanediol",1000,,683.35,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
56,Oxalyl Chloride,1340.6,"1,5-pentanediol",1000,,499.242,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
57,Oxalyl Chloride,871.228,"1,9-nonanediol",1000,,324.448,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
58,Oxalyl Chloride,1340.6,"2,2-Dimethyl-1,3-propanediol",1000,,499.242,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
59,Oxalyl Chloride,1834.97,"1,2-propanediol",1000,,683.35,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
60,Oxalyl Chloride,1549.28,"2,3-Butanediol",1000,,576.959,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
