Polymer Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
1,Monomer,Malonyl Chloride,679.16,
,Monomer,Bisphenol A,1000.00,
,Base,NaOH,227.76,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
2,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"2,5-hexanediol",529.15,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
3,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"1,8 octanediol",654.79,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
4,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"1,9-nonanediol",717.57,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
5,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"1,10-decanediol",780.40,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
6,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"2,2,4-Trimethyl-1,3-pentanediol",654.79,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
7,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"2,2-Dimethyl-1,3-propanediol",466.37,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
8,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",878.96,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
9,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"2,3-Butanediol",403.54,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
10,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"1,4 cyclohexanediol",520.15,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
11,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,diethylene glycol,475.19,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
12,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,triethylene glycol,672.44,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
13,Monomer,Terephthaloyl Chloride,802.39,
,Monomer,"4,4′-Sulfonylbis(2-methylphenol)",1000.00,
,Base,NaOH,186.82,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
14,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,2-Hydroxyethyl disulfide,690.71,
,Base,pyridine,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
15,Monomer,Terephthaloyl Chloride,644.56,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000.00,
,Base,pyridine,296.79,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
16,Monomer,Terephthaloyl Chloride,769.12,
,Monomer,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000.00,
,Base,pyridine,354.14,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
17,Monomer,Terephthaloyl Chloride,785.27,
,Monomer,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000.00,
,Base,pyridine,361.58,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
18,Monomer,Terephthaloyl Chloride,637.32,
,Monomer,"4,4′-(9-Fluorenylidene)diphenol",1000.00,
,Base,pyridine,293.46,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
19,Monomer,Terephthaloyl Chloride,832.20,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000.00,
,Base,pyridine,383.19,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
20,Monomer,Terephthaloyl Chloride,779.97,
,Monomer,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000.00,
,Base,pyridine,359.14,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
21,Monomer,Phthaloyl chloride,1023.15,
,Monomer,"4,4′-Thiodiphenol",1000.00,
,Base,NaOH,238.22,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
22,Monomer,Phthaloyl chloride,1126.64,
,Monomer,Guaiacol glyceryl ether,1000.00,
,Base,NaOH,262.32,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
23,Monomer,Malonyl Chloride,1000.00,
,Monomer,"Naphthalene-1,5-diol",1031.96,
,Base,NaOH,335.36,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
24,Monomer,Diglycolyl chloride,542.84,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000.00,
,Base,pyridine,296.79,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
25,Monomer,Phthaloyl chloride,1528.56,
,Monomer,Dianhydro-D-glucitol,1000.00,
,Base,NaOH,355.89,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
26,Monomer,Phthaloyl chloride,1000.00,
,Monomer,"cis-2-Butene-1,4-diol",394.54,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
27,Monomer,Diglycolyl chloride,647.74,
,Monomer,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000.00,
,Base,pyridine,354.14,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
28,Monomer,Oxalyl Chloride,402.99,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000.00,
,Base,NaOH,150.07,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
29,Monomer,Diglycolyl chloride,700.87,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000.00,
,Base,pyridine,383.19,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
30,Monomer,Phthaloyl chloride,1000.00,
,Monomer,"Naphthalene-1,5-diol",716.45,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
31,Monomer,Phthaloyl chloride,1000.00,
,Monomer,"2,7-Naphthalenediol",716.45,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
32,Monomer,Phthaloyl chloride,978.24,
,Monomer,Bisphenol A,1000.00,
