Unsuccessful Combination Attempt Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
1,Monomer,Malonyl Chloride,1000,
,Monomer,"cis-2-Butene-1,4-diol",568.2866265,
,Base,NaOH,335.3613467,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
2,Monomer,Terephthaloyl Chloride,1000,
,Monomer,"2,2-diethyl-1,3-propanediol",591.9703388,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
3,Monomer,Terephthaloyl Chloride,1000,
,Monomer,"1,2-propanediol",340.7187827,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
4,Monomer,Malonyl Chloride,1000,
,Monomer,Tripropylene glycol,1239.962592,
,Base,NaOH,335.3613467,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
5,Monomer,Malonyl Chloride,1000,
,Monomer,Resorcinol,710.1164178,
,Base,NaOH,335.3613467,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
6,Monomer,Phthaloyl chloride,644.5637429,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,
,Base,pyridine,296.7933732,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
7,Monomer,Phthaloyl chloride,769.1157934,
,Monomer,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,
,Base,pyridine,354.1441373,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
8,Monomer,Phthaloyl chloride,785.2667112,
,Monomer,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,
,Base,pyridine,361.5809276,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
9,Monomer,Phthaloyl chloride,637.3162866,
,Monomer,"4,4′-(9-Fluorenylidene)diphenol",1000,
,Base,pyridine,293.456237,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
10,Monomer,Phthaloyl chloride,832.2042109,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000,
,Base,pyridine,383.1935905,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
11,Monomer,Phthaloyl chloride,779.9734563,
,Monomer,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,
,Base,pyridine,359.1436155,
,Solvent,DMF,,7.5
